time,means,sd,se
935,63.15525551,12.93231384,4.310771281
937,63.15870556,12.92385326,4.307951088
939,63.25883391,12.89159375,4.297197915
941,63.25757871,12.83860858,4.279536193
943,63.26125192,12.8652885,4.288429499
945,63.27084722,12.83641177,4.278803924
947,63.23160828,12.7887398,4.262913267
949,63.26866631,12.78137553,4.260458511
951,63.23995187,12.8099066,4.269968867
953,63.20867298,12.86162731,4.287209104
955,63.27114882,12.85663369,4.285544564
957,63.29583791,12.85223256,4.284077521
959,63.36113097,12.80188164,4.267293881
961,63.35487938,12.80263204,4.267544012
963,63.32642643,12.78556325,4.261854417
965,63.401395,12.77904172,4.259680574
967,63.37333779,12.82476722,4.274922406
969,63.31092297,12.89779369,4.299264562
971,63.33807887,12.89408201,4.298027338
973,63.4170571,12.8932029,4.297734301
975,63.473569,12.87221383,4.290737943
977,63.48107753,12.8161969,4.272065635
979,63.48540972,12.80761689,4.269205629
981,63.52480731,12.83029132,4.276763773
983,63.57726246,12.86263386,4.28754462
985,63.57886982,12.90442635,4.301475449
987,63.61511895,12.87686239,4.292287464
989,63.6720196,12.87110751,4.290369169
991,63.5983568,12.92574749,4.308582496
993,63.5280255,12.88631879,4.295439595
995,63.55069929,12.89086708,4.296955694
997,63.61250046,12.90879022,4.302930072
999,63.64910174,12.90654953,4.302183177
1001,63.67884998,12.91685048,4.305616827
1003,63.69515712,12.87399135,4.291330449
1005,63.66788965,12.84595616,4.281985388
1007,63.62931665,12.94337765,4.314459217
1009,63.66453199,12.94733225,4.315777418
1011,63.67853618,12.91149134,4.303830445
1013,63.69975429,12.97455205,4.324850682
1015,63.74586895,12.96538964,4.321796548
1017,63.80276263,12.93760495,4.312534984
1019,63.78739863,12.92091548,4.306971827
1021,63.74633093,12.92798498,4.309328326
1023,63.71517582,12.94397459,4.314658197
1025,63.72234964,12.96189099,4.32063033
1027,63.76680638,12.94200235,4.314000783
1029,63.81718697,12.90447099,4.30149033
1031,63.8842931,12.93361307,4.311204356
1033,63.95899842,12.97120821,4.323736069
1035,63.9435089,12.95208878,4.317362926
1037,63.95103662,12.91229646,4.304098819
1039,63.94097933,12.97076519,4.323588397
1041,63.93823358,12.98392166,4.327973888
1043,63.9526893,12.98514913,4.328383042
1045,63.97592096,13.02451003,4.341503343
1047,63.95926341,12.966724,4.322241335
1049,63.91883202,12.92579499,4.308598328
1051,63.95853992,12.94924286,4.316414288
1053,64.00231851,12.92382407,4.307941355
1055,64.05584582,12.90023828,4.300079426
1057,64.06360016,12.97224316,4.324081053
1059,64.14153065,12.95239505,4.317465018
1061,64.19289622,12.9593952,4.3197984
1063,64.09415731,13.0450942,4.348364732
1065,64.05036478,12.99945872,4.333152907
1067,64.13258735,12.98701334,4.329004447
1069,64.15026475,12.96463154,4.321543846
1071,64.21973658,12.96293557,4.320978522
1073,64.23597225,12.91909277,4.306364257
1075,64.20297618,13.04893334,4.349644445
1077,64.21949426,13.02031771,4.340105903
1079,64.22157929,12.96871144,4.322903813
1081,64.26297822,12.96921813,4.323072711
1083,64.23207415,13.00166534,4.333888448
1085,64.24321754,13.05131353,4.350437844
1087,64.21576701,13.05714494,4.352381647
1089,64.29683724,13.02296189,4.340987297
1091,64.32143393,13.03368375,4.34456125
1093,64.36280672,13.03878736,4.346262453
1095,64.31698146,13.0946402,4.364880065
